ID,Date,Title,ISBN,Classification
1093163580,1997-03-03,The evolution of cardiac surgery,0253352215; 9780253352217,D45b
1094648080,1999-11-01,Knife to the heart : the story of transplant surgery,0333652576; 9780333652572,D45b
1094707517,2004-03-02,The surgeon's heart : a history of cardiac surgery,0433275901; 9780433275909,D45b
1093327606,1997-03-03,To mend the heart,0670470929; 9780670470921,D45b
1093015973,1997-03-03,The history of cardiac surgery : 1896-1955,0801810566; 9780801810565,D45b
1094672414,2001-09-11,"Machines in our hearts : the cardiac pacemaker, the implantable defibrillator, and American health care",0801865794; 9780801865794,D45b
1094082559,1998-08-31,A history of vascular surgery,0879933399; 9780879933395,D45b
1094073391,1997-08-19,The history of cardiothoracic surgery : from early times,1850706816; 9781850706816,D45b
1094669901,2000-11-06,Landmarks in cardiac surgery,1899066543; 9781899066544,D45b
1094686464,2002-10-21,Heart & scalpel : a history of cardiac surgery,1899163700; 9781899163700,D45b
1094073878,1997-12-11,Le coeur qui bat : l'extraordinaire aventure de la chirurgie cardiaque,2877063089; 9782877063081,D45b
1094705686,2004-08-04,The miracle of heart surgery,none,D45b
1093040886,1997-03-03,The historical development of cardiac transplantation,none,D45b
1094006147,1999-08-16,Beiträge zur Geschichte der Kardiologie,none,D45b
1092331638,1997-03-03,Cuore e polmone nella chirurgia attraverso i tempi,none,D45b
1096623771,2012-11-08,Cuore e polmone nella chirurgia attraverso i tempi,none,D45b
