ID,Date,Title,ISBN,Classification
1096897215,03/09/2014,Surgery : an illustrated history,0801660785; 9780801660788,D45a
1093368244,03/03/1997,The history and literature of surgery,0872660389; 9780872660380,D45a
1093156082,03/03/1997,Developmental technology of gastric surgery : [vagotomy] : 1521 to present,0930329082; 9780930329082,D45a
1094647683,07/03/2000,"Wound treatment, past to present, with references to Karl v. Reichenbach, Joseph Lister, Louis Pasteur, Alexis Carrel and others",,
1096111249,30/11/2006,Primitive surgery : an overview,1841717479; 9781841717470,D45a
VD2135431,30/11/2006,Primitive surgery : an overview,1841717479; 9781841717470,D45a
1094083032,10/02/1999,Surgical case-histories from the past,1853152226; 9781853152221,D45a
1094684872,02/07/2003,History of organ and cell transplantation,,
1093348801,03/03/1997,Operations that made history,1900151154; 9781900151153,D45a
1094073274,05/08/1997,Le corps blessé : quatre siècles de chirurgie,2950847013; 9782950847010,D45a
1094687496,21/05/2002,Traumatologie und Feldchirurgie an der Wende vom Mittelalter zur Neuzeit : exemplarisch dargestellt anhand der Grossen Chirurgie des Walther Hermann Ryff,3515077421; 9783515077422,D45a
1094083329,26/04/1999,Die Erfindung der Organtransplantation : Erfolg und Scheitern des chirurgischen Organersatzes (1880-1930),,
1093198716,03/03/1997,Chirurgie und Anästhesie : vom Handwerk zur Wissenschaft,3804712568; 9783804712560,D45a
1096111971,30/05/2007,Illustrierte Geschichte der Mikrochirurgie : die historische Entwicklung in den verschiedenen operativen Disziplinen,3867632006; 9783867632003,D45a
1093368264,03/03/1997,"Fantasy surgery, 1880-1930 : with special reference to Sir William Arbuthnot Lane",9042000260; 9789042000261,D45a
1096621630,16/02/2012,Invasion of the body : revolutions in surgery,,
1094687420,30/04/2002,The triumph of surgery,none,D45a
1094707729,05/02/2004,Über die Entwicklung des Operationstisches im 19. Jahrhundert,none,D45a
1094707741,09/02/2004,"Cenni storici su la pneumectomia, toracoplastica, pnx. terapeutico nelle ferite toraciche",none,D45a
1094705958,24/08/2004,Histoire de la chirurgie,,
1094723971,28/09/2005,A history of thoracic surgery,none,D45a
1096158386,03/12/2009,"The origins of organ transplantation : surgery and laboratory science, 1880-1930",none,D45a
1093327632,03/03/1997,The surgeon's tale : the story of modern surgery,none,D45a
1092250312,03/03/1997,The early history of surgery,,
1094073241,31/07/1997,The story of surgery,none,D45a
1094082558,31/08/1998,Great ideas in the history of surgery,none,D45a
1093114757,03/03/1997,K. Sprengel's Geschichte der Chirurgie.,none,D45a
1093114761,03/03/1997,Wilhelm Sprengel's Geschichte der chirurgischen Operationen,none,D45a
