ID,Image,Title,Category,Domain,Description,Documentation,Date,Date Start,Date End,Date Mod,Condition,Creator,Materials,Origin,Lat,Lng
163,0163.jpg,Pot de Chambre pour enfant,Soins d'hygiène,Santé publique,"Pot de chambre cylindrique pour enfant, avec un anse, en émail blanc au bord bleu.",,20e s.,1900,1999,20e s.,Bon,Sans mention ,Email,Hôpital Cantonal Lausanne,46.5256057,6.6426073
169,0169.jpg,Urinal en porcelaine pour femme,Soins d'hygiène,Santé publique,Urinal en forme de lampe à huile utilisé lorsque les patientes ne peuvent pas s’asseoir.,"- Bordereau de versement du 23 août 1990, classeur “Instruments, Appareils”.",20e s.,1900,1999,20e s.,Bon,"S. Maw Son & Sons London, Trade Mark",Porcelaine,Diaconie de Vevey,46.4628333,6.8419192
203,0203.jpg,Boîte de 12 ventouses pneumatiques sans feu,Soins techniques,Soins techniques,"Ventouses en verre avec dispositif métallique et pompe en métal permettant de faire le vide d’air. Une capsule ronde en caoutchouc est placée sous le dispositif métallique. Il existe deux tailles de ventouses différentes, les plus grandes mesurent 6,5 cm de hauteur et  6,5 cm de diamètre et pèsent 80 g tandis que les plus petites mesurent 6 cm de hauteur et 5 cm de diamètre et pèsent 60 g. Les ventouses et la pompe sont disposées dans une boîte en carton. ",,20e s.,1900,1999,20e s.,Bon à l’exception de la boîte en carton.,Star,"Verre, métal et caoutchouc",Marché aux puces Genève,46.1983927,6.1405447
177,0177.jpg,Pharmacie de poche,Anatomie,Pharmacie - Pharmacologie,Petite trousse de cuir noir avec fermoir en métal doré.Contenu:- 1 feuillet avec instructions et détail du contenu - 1 tube de ouate hydrophile- 1 bande de mousseline large de 6 cm- 1 bande de mousseline large de 4cm- 1 tube d’axonge de cerf- 1 flacon d’esprit de sel amoniac- 1 tube de ouate hemostatique- 1 flacon d’acétate d’alumine - 1 flacon de gouttes de valeriane- 1 flacon de gouttes d’Hoffmann (l’étiquette est décollée)- 1 sachet de bicarbonate - 1 sachet de vulnoplast- 1 nécessaire à coudre- 1 sachet de taffetas anglais ,,XXème s.,1900,1999,XXème s.,Bon,"H. Hermann, Davos",Cuir,"Musée des Ecoles, Yverdon",46.7725682,6.6587267
164,0164.jpg,Bassin de lit rond pour adulte,Soins d'hygiène,Santé publique,"Bassin de lit rond avec anse, en émail blanc à bord bleu. Un petit autocollant est placé sur le bord. Il s’agit d’un pichet blanc contenant la lettre Z sur un fond bleu. ",,20e s.,1900,1999,20e s.,Bon,“Z”,Email,Hôpital Cantonal Lausanne,46.5256057,6.6426073
160,0160.jpg,Broc pour la toilette,Soins d'hygiène,Santé publique,"Pot à eau émaillé, blanc bordé de bleu, avec anse, capacité de 2,5lt. L’autocollant de la marque est collé sur l’un des côtés du pot. ",,20e s.,1900,1999,20e s.,Bon,"Merker, Switzerland",Email ,Hôpital Cantonal Lausanne,46.5256057,6.6426073
281,0281.jpg,Crachoir avec couvercle,Soins d'hygiène,Santé publique,Crachoir en métal émaillé blanc à bords bleus avec anse et couvercle.,,20e s.,1900,1999,20e s.,Bon,Sans mention,Email,Hôpital Cantonal Lausanne,46.5256057,6.6426073
534,0534.jpg,Fumigateur,Soins d'hygiène,Soins techniques,Petite cuvette munie de anses avec entonnoir en métal émaillé blanc à bords bleus.,,20e s.,1900,1999,20e s.,Bon,Sans mention ,Email,Diaconie de Vevey,46.4628333,6.8419192
162,0162.jpg,Petit pot gradué,Soins d'hygiène,Santé publique,Petit pot gradué de 500 ml avec bec verseur.,,XXème s.,1900,1999,XXème s.,Relativement bon,Sans mention ,Email,Hôpital Cantonal Lausanne,46.5256057,6.6426073
21,0021.jpg,Tête phrénologique,Diagnostic,Neurologie,"Tête phrénologique en plâtre blanc devenu gris avec le temps, nécessite une restauration.",,Fin XIXème s.,1875,1899,Fin XIXème s.,aurait besoin d’être restaurée ,Sans mention ,Plâtre,"Institut de physiologie, CMU Genève",46.2043907,6.1431577
528,0528.jpg,Cuvette en émail ,Soins d'hygiène,Santé publique,Cuvette en émail blanc avec bords bleus. ,,XXème s.,1900,1999,XXème s.,Moyen,Sans mention ,Email,Diaconie de Vevey,46.4628333,6.8419192
614,0614.jpg,Pot de chambre pour enfant avec couvercle,Soins d'hygiène,Santé publique,Pot de chambre pour enfant émaillé jaune à bords bleus.,,XXème s.,1900,1999,XXème s.,Bon,Sans mention ,Email,Diaconie de Vevey,46.4628333,6.8419192
172,0172.jpg,Bassin de lit,Soins d'hygiène,Santé publique,Bassin de lit allongé pour être glissé sous le dos du patient. En dessous de l’objet on distingue l’écusson d’une marque: il s’agit d’un Z inscrit dans un pichet. Cette marque reste non-identifiée.,,XXème s.,1900,1999,XXème s.,Bon,“Z” ?,Email ,Diaconie de Vevey,46.4628333,6.8419192
206,0206.jpg,Bassin de lit ,Soins d'hygiène,Santé publique,"Bassin de lit pour femme, en émail. Utilisé pour les patientes devant rester couchées sur le dos.",,XXème s.,1900,1999,XXème s.,Bon,Sans mention ,Email ,Diaconie de Vevey,46.4628333,6.8419192
621,0621.jpg,Urinal en verre,Soins d'hygiène,Santé publique,Urinal en verre pour femme alitée.,,XXème s.,1900,1999,XXème s.,Bon,Sans mention ,Verre,Diaconie de Vevey,46.4628333,6.8419192
165,0165.jpg,Bassin réniforme ,Soins techniques,Soins techniques,"Bassin de forme irrégulière en métal émaillé à bords bleus pour réfection des pansements.L’objet porte le label de la marque. Il est illisible mais on distingue les lettres: M,L,G, Co. ",,XXème s.,1900,1999,XXème s.,Bon,?,Email ,Diaconie de Vevey,46.4628333,6.8419192
5334,5334.jpg,Bassin réniforme,Soins techniques,Soins techniques,Bassin réniforme pour réfection pansements et usages divers.,,XXème s.,1900,1999,XXème s.,Bon,“Z”,Email,Diaconie de Vevey,46.4628333,6.8419192
537,0537.jpg,Bassin rectangulaire avec bec verseur,Soins techniques,Soins techniques,"Bassin rectangulaire, émaillé à bords bleus avec bec verseur pour la réfection des pansements. L’objet porte au dos un caducet avec la lettre S.",,XXème s.,1900,1999,XXème s.,Bon,Sans mention ,Email,Hôpital Cantonal Lausanne,46.5256057,6.6426073
527,0527.jpg,Bac à compresses avec couvercle,Soins techniques,Soins techniques,"Bac à compresses en tôle émaillée blanche, avec couvercle, pour stocker les compresses.",,20e s.,1900,1999,20e s.,Bon ,Sans mention ,Email ,Hôpital Cantonal Lausanne,46.5256057,6.6426073
205,0205.jpg,Brocs à lavement,Soins d'hygiène,Santé publique,Broc à lavement en émail blanc avec bordure bleue. ,,XXème s.,1900,1999,XXème s.,Bon,Sans mention ,Email,Hôpital Cantonal Lausanne,46.5256057,6.6426073
174,0174.jpg,Bouillote en métal,Soins d'hygiène,Soins techniques,Bouillotte cylindrique en métal. ,,XXème s.,1900,1999,XXème s.,Bon,Sans mention ,Métal,Diaconie de Vevey,46.4628333,6.8419192
633,0633.jpg,Tasse à bec en porcelaine,,Soins techniques,Tasse à bec dit “canard” pour permettre au patient de boire couché.,,XXème s.,1900,1999,XXème s.,Bon ,Digoin & Sarreguemines,Porcelaine,Hôpital Cantonal Lausanne,46.5256057,6.6426073
85,0085.jpg,Coussin rond en caoutchouc,Soins d'hygiène,Soins techniques,Coussin rond en caoutchouc utilisés chez les malades alités pendant une longue période pour éviter les escarres.,,XXème s.,1900,1999,XXème s.,Bon ,Sans mention ,Caoutchouc,,,
564,0564.jpg,Poche à glace,Soins d'hygiène,Soins techniques,"Poche à glace circulaire, en caoutchouc avec fermoir métal.",,XXème s.,1900,1999,XXème s.,Bon ,Kebal,Caoutchouc et métal ,Hôpital Cantonal Lausanne,46.5256057,6.6426073
