Category,Description,Documentation,Domain,Date,Condition,Creator,Materials,ID,Title,Origin
Soins d'hygiène,"Pot de chambre cylindrique pour enfant, avec un anse, en émail blanc au bord bleu.",,Santé publique,20e s.,Bon,Sans mention ,Email,163,Pot de Chambre pour enfant,Hôpital Cantonal Lausanne
Soins d'hygiène,Urinal en forme de lampe à huile utilisé lorsque les patientes ne peuvent pas s’asseoir.,"- Bordereau de versement du 23 août 1990, classeur “Instruments, Appareils”.",Santé publique,20e s.,Bon,"S. Maw Son & Sons London, Trade Mark",Porcelaine,169,Urinal en porcelaine pour femme,Diaconie de Vevey
Soins techniques,"Ventouses en verre avec dispositif métallique et pompe en métal permettant de faire le vide d’air. Une capsule ronde en caoutchouc est placée sous le dispositif métallique. Il existe deux tailles de ventouses différentes, les plus grandes mesurent 6,5 cm de hauteur et  6,5 cm de diamètre et pèsent 80 g tandis que les plus petites mesurent 6 cm de hauteur et 5 cm de diamètre et pèsent 60 g. Les ventouses et la pompe sont disposées dans une boîte en carton. ",,Soins techniques,20e s.,Bon à l’exception de la boîte en carton.,Star,"Verre, métal et caoutchouc",203,Boîte de 12 ventouses pneumatiques sans feu,Marché aux puces Genève
Anatomie,Petite trousse de cuir noir avec fermoir en métal doré.Contenu:- 1 feuillet avec instructions et détail du contenu - 1 tube de ouate hydrophile- 1 bande de mousseline large de 6 cm- 1 bande de mousseline large de 4cm- 1 tube d’axonge de cerf- 1 flacon d’esprit de sel amoniac- 1 tube de ouate hemostatique- 1 flacon d’acétate d’alumine - 1 flacon de gouttes de valeriane- 1 flacon de gouttes d’Hoffmann (l’étiquette est décollée)- 1 sachet de bicarbonate - 1 sachet de vulnoplast- 1 nécessaire à coudre- 1 sachet de taffetas anglais ,,Pharmacie - Pharmacologie,XXème s.,Bon,"H. Hermann, Davos",Cuir,177,Pharmacie de poche,"Musée des Ecoles, Yverdon"
Soins d'hygiène,"Bassin de lit rond avec anse, en émail blanc à bord bleu. Un petit autocollant est placé sur le bord. Il s’agit d’un pichet blanc contenant la lettre Z sur un fond bleu. ",,Santé publique,20e s.,Bon,“Z”,Email,164,Bassin de lit rond pour adulte,Hôpital Cantonal Lausanne
Soins d'hygiène,"Pot à eau émaillé, blanc bordé de bleu, avec anse, capacité de 2,5lt. L’autocollant de la marque est collé sur l’un des côtés du pot. ",,Santé publique,20e s.,Bon,"Merker, Switzerland",Email ,160,Broc pour la toilette,Hôpital Cantonal Lausanne
Soins d'hygiène,Crachoir en métal émaillé blanc à bords bleus avec anse et couvercle.,,Santé publique,20e s.,Bon,Sans mention,Email,281,Crachoir avec couvercle,Hôpital Cantonal Lausanne
Soins d'hygiène,Petite cuvette munie de anses avec entonnoir en métal émaillé blanc à bords bleus.,,Soins techniques,20e s.,Bon,Sans mention ,Email,534,Fumigateur,Diaconie de Vevey
Soins d'hygiène,Petit pot gradué de 500 ml avec bec verseur.,,Santé publique,XXème s.,Relativement bon,Sans mention ,Email,162,Petit pot gradué,Hôpital Cantonal Lausanne
Diagnostic,"Tête phrénologique en plâtre blanc devenu gris avec le temps, nécessite une restauration.",,Neurologie,Fin XIXème s.,aurait besoin d’être restaurée ,Sans mention ,Plâtre,21,Tête phrénologique,"Institut de physiologie, CMU Genève"
Soins d'hygiène,Cuvette en émail blanc avec bords bleus. ,,Santé publique,XXème s.,Moyen,Sans mention ,Email,528,Cuvette en émail ,Diaconie de Vevey
Soins d'hygiène,Pot de chambre pour enfant émaillé jaune à bords bleus.,,Santé publique,XXème s.,Bon,Sans mention ,Email,614,Pot de chambre pour enfant avec couvercle,Diaconie de Vevey
Soins d'hygiène,Bassin de lit allongé pour être glissé sous le dos du patient. En dessous de l’objet on distingue l’écusson d’une marque: il s’agit d’un Z inscrit dans un pichet. Cette marque reste non-identifiée.,,Santé publique,XXème s.,Bon,“Z” ?,Email ,172,Bassin de lit,Diaconie de Vevey
Soins d'hygiène,"Bassin de lit pour femme, en émail. Utilisé pour les patientes devant rester couchées sur le dos.",,Santé publique,XXème s.,Bon,Sans mention ,Email ,206,Bassin de lit ,Diaconie de Vevey
