Soins d'hygiène,01/01/1999,29/01/2015,15/07/2008,"Pot de chambre cylindrique pour enfant, avec un anse, en émail blanc au bord bleu.",,Santé publique,,IUHMSP,PE82/0/015/armoire,20e s.,Bon,Sans mention ,11,1,20,,Email,Don,atille,163,Pot de Chambre pour enfant,Hôpital Cantonal Lausanne,,MV
Soins d'hygiène,23/08/1990,14/07/2014,15/07/2008,Urinal en forme de lampe à huile utilisé lorsque les patientes ne peuvent pas s’asseoir.,"- Bordereau de versement du 23 août 1990, classeur “Instruments, Appareils”.",Santé publique,"Mme Marianne Matile, infirmière",IUHMSP,PE82/0/015/armoire,20e s.,Bon,"S. Maw Son & Sons London, Trade Mark",55,2,125,235,Porcelaine,Don,mclamy,169,Urinal en porcelaine pour femme,Diaconie de Vevey,,SO
Soins techniques,1.1.2003,01/07/2014,15/07/2008,"Ventouses en verre avec dispositif métallique et pompe en métal permettant de faire le vide d’air. Une capsule ronde en caoutchouc est placée sous le dispositif métallique. Il existe deux tailles de ventouses différentes, les plus grandes mesurent 6,5 cm de hauteur et  6,5 cm de diamètre et pèsent 80 g tandis que les plus petites mesurent 6 cm de hauteur et 5 cm de diamètre et pèsent 60 g. Les ventouses et la pompe sont disposées dans une boîte en carton. ",,Soins techniques,M. Vincent Barras,IUHMSP,PE82/0/armoire couloir/C,20e s.,Bon à l’exception de la boîte en carton.,Star,65,3,65,,"Verre, métal et caoutchouc",Don,mclamy,203,Boîte de 12 ventouses pneumatiques sans feu,Marché aux puces Genève,Ce no d’inventaire est déjà attribué à un dynamomètre. En attribuer un autre!Il manque un dispositif métallique et une capsule en caoutchouc à l’une des petites ventouses. Il manque aussi une capsule en caoutchouc à l’une des grandes ventouses. ,SO
Anatomie,05/11/2004,14/07/2014,15/07/2008,Petite trousse de cuir noir avec fermoir en métal doré.Contenu:- 1 feuillet avec instructions et détail du contenu - 1 tube de ouate hydrophile- 1 bande de mousseline large de 6 cm- 1 bande de mousseline large de 4cm- 1 tube d’axonge de cerf- 1 flacon d’esprit de sel amoniac- 1 tube de ouate hemostatique- 1 flacon d’acétate d’alumine - 1 flacon de gouttes de valeriane- 1 flacon de gouttes d’Hoffmann (l’étiquette est décollée)- 1 sachet de bicarbonate - 1 sachet de vulnoplast- 1 nécessaire à coudre- 1 sachet de taffetas anglais ,,Pharmacie - Pharmacologie,,IUHMSP,PE82/0/armoire couloir/E,XXème s.,Bon,"H. Hermann, Davos",3,4,95,155,Cuir,Don,mclamy,177,Pharmacie de poche,"Musée des Ecoles, Yverdon","Selon la liste qui détaille le contenu de la trousse, il manque une paire de ciseaux et des pincettes. ",MV
Soins d'hygiène,01/01/1999,14/07/2014,15/07/2008,"Bassin de lit rond avec anse, en émail blanc à bord bleu. Un petit autocollant est placé sur le bord. Il s’agit d’un pichet blanc contenant la lettre Z sur un fond bleu. ",,Santé publique,,IUHMSP,PE82/0/015/armoire,20e s.,Bon,“Z”,8,5,30,385,Email,Don,mclamy,164,Bassin de lit rond pour adulte,Hôpital Cantonal Lausanne,,SO
Soins d'hygiène,01/01/1999,14/07/2014,15/07/2008,"Pot à eau émaillé, blanc bordé de bleu, avec anse, capacité de 2,5lt. L’autocollant de la marque est collé sur l’un des côtés du pot. ",,Santé publique,,IUHMSP,PE82/0/015/armoire,20e s.,Bon,"Merker, Switzerland",265,6,23,,Email ,Don,mclamy,160,Broc pour la toilette,Hôpital Cantonal Lausanne,,SO
Soins d'hygiène,01/01/1999,14/07/2014,15/07/2008,Crachoir en métal émaillé blanc à bords bleus avec anse et couvercle.,,Santé publique,,IUHMSP,PE82/0/015/armoire,20e s.,Bon,Sans mention,10,7,13,,Email,Don,mclamy,281,Crachoir avec couvercle,Hôpital Cantonal Lausanne,,SO
Soins d'hygiène,01/01/1999,14/07/2014,15/07/2008,Petite cuvette munie de anses avec entonnoir en métal émaillé blanc à bords bleus.,,Soins techniques,,IUHMSP,PE82/0/015/armoire,20e s.,Bon,Sans mention ,28,8,25,,Email,Don,mclamy,534,Fumigateur,Diaconie de Vevey,,SO
Soins d'hygiène,01/01/1999,14/07/2014,15/07/2008,Petit pot gradué de 500 ml avec bec verseur.,,Santé publique,,IUHMSP,PE82/0/015/armoire,XXème s.,Relativement bon,Sans mention ,13,9,14,,Email,Don,mclamy,162,Petit pot gradué,Hôpital Cantonal Lausanne,La partie inférieure du pot est ébréchée par endroit.,Admin
Diagnostic,25.09.1994,13/02/2017,15/07/2008,"Tête phrénologique en plâtre blanc devenu gris avec le temps, nécessite une restauration.",,Neurologie,"Prof. J.-J. Dreifuss, Tartegnin",IUHMSP,bureau collections,Fin XIXème s.,aurait besoin d’être restaurée ,Sans mention ,32,10,25,17,Plâtre,Don,rfuschetto,21,Tête phrénologique,"Institut de physiologie, CMU Genève",Il manque la structure en métal que l’on voit sur la photo et l’objet ne porte pas de numéro d’inventaire. ,MV
Soins d'hygiène,23/08/1990,14/07/2014,15/07/2008,Cuvette en émail blanc avec bords bleus. ,,Santé publique,,IUHMSP,PE82/0/015/armoire,XXème s.,Moyen,Sans mention ,7,11,24,,Email,Don,mclamy,528,Cuvette en émail ,Diaconie de Vevey,L’objet concerné se trouve en haut à droite sur la photo. La cuvette est ébréchée sur le côté et s’écaille.,MV
Soins d'hygiène,23/08/1990,14/07/2014,16/07/2008,Pot de chambre pour enfant émaillé jaune à bords bleus.,,Santé publique,,IUHMSP,PE82/0/015/armoire,XXème s.,Bon,Sans mention ,11,12,20,,Email,Don,mclamy,614,Pot de chambre pour enfant avec couvercle,Diaconie de Vevey,Le couvercle et le pot portent le même numéro d’inventaire. ,SO
Soins d'hygiène,23/08/1990,14/07/2014,16/07/2008,Bassin de lit allongé pour être glissé sous le dos du patient. En dessous de l’objet on distingue l’écusson d’une marque: il s’agit d’un Z inscrit dans un pichet. Cette marque reste non-identifiée.,,Santé publique,,IUHMSP,PE82/0/015/armoire,XXème s.,Bon,“Z” ?,75,13,30,445,Email ,Don,mclamy,172,Bassin de lit,Diaconie de Vevey,,SO
Soins d'hygiène,23/08/1990,14/07/2014,17/07/2008,"Bassin de lit pour femme, en émail. Utilisé pour les patientes devant rester couchées sur le dos.",,Santé publique,,IUHMSP,PE82/0/015/armoire,XXème s.,Bon,Sans mention ,65,14,155,31,Email ,Don,mclamy,206,Bassin de lit ,Diaconie de Vevey,Les bordures sont légèrement ébréchées et l’embout en caoutchouc est un peu sec et  fissuré.,SO
Soins d'hygiène,23/08/1990,14/07/2014,17/07/2008,Urinal en verre pour femme alitée.,,Santé publique,,IUHMSP,PE82/0/015/armoire,XXème s.,Bon,Sans mention ,12,15,95,325,Verre,Don,mclamy,621,Urinal en verre,Diaconie de Vevey,,SO
Soins techniques,23/08/1990,14/07/2014,17/07/2008,"Bassin de forme irrégulière en métal émaillé à bords bleus pour réfection des pansements.L’objet porte le label de la marque. Il est illisible mais on distingue les lettres: M,L,G, Co. ",,Soins techniques,,IUHMSP,PE82/0/015/armoire,XXème s.,Bon,?,45,16,22,295,Email ,Don,mclamy,165,Bassin réniforme ,Diaconie de Vevey,Certaines parties du bord sont ébréchés.,SO
Soins techniques,23/08/1990,14/07/2014,17/07/2008,Bassin réniforme pour réfection pansements et usages divers.,,Soins techniques,,IUHMSP,PE82/0/015/armoire,XXème s.,Bon,“Z”,65,17,205,355,Email,Don,mclamy,5334,Bassin réniforme,Diaconie de Vevey,La pièce se trouve à droite de la photo. Certains bords sont ébréchés.Numéro d’inventaire à changer. ,SO
Soins techniques,18/10/1991,14/07/2014,17/07/2008,"Bassin rectangulaire, émaillé à bords bleus avec bec verseur pour la réfection des pansements. L’objet porte au dos un caducet avec la lettre S.",,Soins techniques,,IUHMSP,PE82/0/015/armoire,XXème s.,Bon,Sans mention ,5,18,23,285,Email,Don,mclamy,537,Bassin rectangulaire avec bec verseur,Hôpital Cantonal Lausanne,,SO
Soins techniques,18/10/1991,02/07/2014,17/07/2008,"Bac à compresses en tôle émaillée blanche, avec couvercle, pour stocker les compresses.",,Soins techniques,,IUHMSP,PE82/0/armoire couloir/D,20e s.,Bon ,Sans mention ,145,19,24,38,Email ,Don,mclamy,527,Bac à compresses avec couvercle,Hôpital Cantonal Lausanne,Certaines parties du couvercle sont ébréchées.,SO
Soins d'hygiène,18/10/1991,14/07/2014,17/07/2008,Broc à lavement en émail blanc avec bordure bleue. ,,Santé publique,,IUHMSP,PE82/0/015/armoire,XXème s.,Bon,Sans mention ,20,20,17,,Email,Don,mclamy,205,Brocs à lavement,Hôpital Cantonal Lausanne,L’objet concerné se trouve à gauche de la photo. ,SO
Soins d'hygiène,18/10/1990,14/07/2014,17/07/2008,Bouillotte cylindrique en métal. ,,Soins techniques,,IUHMSP,PE82/0/015/armoire,XXème s.,Bon,Sans mention ,235,21,9,,Métal,Don,mclamy,174,Bouillote en métal,Diaconie de Vevey,,SO
,23/08/1990,14/07/2014,17/07/2008,Tasse à bec dit “canard” pour permettre au patient de boire couché.,,Soins techniques,,IUHMSP,PE82/0/015/armoire,XXème s.,Bon ,Digoin & Sarreguemines,7,22,65,17,Porcelaine,Don,mclamy,633,Tasse à bec en porcelaine,Hôpital Cantonal Lausanne,L’objet  concerné se trouve en premier plan au centre sur la photo. ,SO
Soins d'hygiène,18/10/1990,17/07/2014,17/07/2008,Coussin rond en caoutchouc utilisés chez les malades alités pendant une longue période pour éviter les escarres.,,Soins techniques,"Mme G. Morier-Genoud, Pully",IUHMSP,"IUHMSP, COM-D-2-2",XXème s.,Bon ,Sans mention ,,23,48,,Caoutchouc,Don,mclamy,85,Coussin rond en caoutchouc,,L’objet porte deux numéro d’inventaire. Un est indiqué à l’encre de chine: 0574 et un autre par une étiquette collée sur l’objet: N°85 Coll. H.C.,SO
Soins d'hygiène,18/10/1990,18/05/2011,18/07/2008,"Poche à glace circulaire, en caoutchouc avec fermoir métal.",,Soins techniques,,IUHMSP,"IUHMSP, COM-D-2-2                                                                                                                                                                                                                                                                                                                ",XXème s.,Bon ,Kebal,,24,20,,Caoutchouc et métal ,Don,AT,564,Poche à glace,Hôpital Cantonal Lausanne,Le numéro d’inventaire indiqué dans Filemaker (0085) ne correspondait pas à celui que porte l’objet (0564). ,SO
Soins d'hygiène,18/10/1990,28/03/2011,18/07/2008,Poche à glace allongée pour opérer des amygdales.,,Angiologie,,IUHMSP,"IUHMSP, COM-D-2-2",XXème s.,Bon ,Sanor,3,25,6,32,Caoutchouc et métal,Don,AT,565,Poche à glace,Hôpital Cantonal Lausanne,,SO
Soins techniques,18/10/1990,22/01/2015,18/07/2008,Cylindre en inox pour pince porte-tampons.,,Soins techniques,,IUHMSP,PE82/0/armoire couloir/D,XXème s.,Bon ,Favre & Blanc,19,26,105,,Métal ,Don,rfuschetto,63,Cylindre,Hôpital Cantonal Lausanne,La pièce concernée est à gauche de la photo. Elle figure en tant que lot de 4 cylindres sur la liste des objets stockés dans les dépôts externes (Cery). L’ancienne cotation correspond à celle indiquée dans la liste de Cery.Les 2 autres cylindres mentionnés dans la liste des objets stockés dans les dépots de Cery n’ont pas été localisés.Modifier le numéro d’inventaire car un autre objet porte le même. ,SO
Obstétrique,24/05/1995,22/07/2013,18/07/2008,Appareil de verre avec pièces métalliques pour aspiration du lait chez les mères qui allaitent.,,Pédiatrie,,IUHMSP,"IUHMSP, COM-D-1-1",XXème s.,Bon,"Tourtier, Paris ",,27,5,185,"Verre, caoutchouc, métal",Don,rfuschetto,150,Tire-lait “Aspirateur de Tourtier”,Hôpital Cantonal Lausanne,Ne pas enclencher le système d’aspiration car le caoutchouc est sec et cassant. Exposé dans les vitrines de l’accueil de l’IUHMSP. Rangé en stock le 22.07.2013,SO
Soins techniques,15/04/2002,08/12/2011,18/07/2008,Lot de sondes à usages multiples.,,Soins techniques,,IUHMSP,"IUHMSP, COM-D-2-1",XXème s.,Bon,Sans mention ,,28,,0,Caoutchouc,Don,MV,678,Lot de sondes en caoutchouc,Hôpital Cantonal Lausanne,Ces sondes sont rangées dans une boîte en bois qui porte le numéro d’inventaire 0678. Elles auraient besoin d’être nettoyées et classées. Pour cet ensemble de sondes nous avons préféré les garder en lot. ,SO
Soins techniques,25/09/2005,14/07/2014,18/07/2008,Appareil électrique en métal avec: - 2 accessoires en verre - 2 accessoires en métal- 1 prise électrique - 1 récipient en métal - 1 mode d’emploi pour fonctionnement ,,Soins techniques,"Mme Schloulepnikoff, Prangins",IUHMSP,PE82/0/015,20e s.,Bon,"Prometheus, A.G.",75,29,85,,Métal et verre,,mclamy,5030,"Inhalateur “Prométhée”, type JH 01",,Il manque le récipient en métal que l’on voit sur la photo. L’objet aurait besoin d’être nettoyé.,SO
Chirurgie cardiaque,,02/12/2015,18/07/2008,Stimulateur cardiaque implantable simple chambre à fréquence asservie  (SSIR) Thera SR Medtronic.,,,,13,PE82/-1/003,XXème s.,,Medtronic,4,30,,43,,,rfuschetto,-618,Stimulateur cardiaque Thera SR - Pacemaker,,Différents modèles de stimulateurs cardiaques et d’autres appareils ou instruments cardio-vasculaires sont conservés dans le Musée de chirurgie cardio-vasculaire du CHUV (021 314 26 95). cf. Dr. Von Segesser,MV
Soins techniques,12/09/1992,02/07/2014,18/07/2008,Bocal en verre avec couvercle pour stocker le coton.,,,,IUHMSP,PE82/0/armoire couloir/D,20e s.,,Sans mention ,12,31,12,,Verre,Don,mclamy,524,Bocal en verre avec couvercle,Hôpital Cantonal Lausanne,"Il s’agit du bocal qui se trouve au centre de la photo, en haut, entre les deux autres bocaux. ",SO
Soins techniques,18/10/1990,28/03/2011,18/07/2008,Bac pour stocker les compresses,,,,IUHMSP,"IUHMSP, ",XXème s.,,,55,32,15,22,,,AT,526,Bac de verre avec couvercle métal,"Dr G. Fatzer, Lausanne",,SO
"Orthopédie, traumatologie",18/10/1990,16/07/2014,21/07/2008,,,,,,PE82/0/015,XXème s.,,,,33,,27,,,mclamy,717,Marteau,Hôpital Cantonal Lausanne,,SO
"Orthopédie, traumatologie",18/10/1990,01/10/2015,21/07/2008,Scie en métal ,,,,21,PE82/-1/003,XXème s.,,,,34,11,34,,,rfuschetto,720,Scie à amputation,Hôpital Cantonal Lausanne,,SO
"Orthopédie, traumatologie",18/10/1990,01/10/2015,21/07/2008,,,,,21,PE82/-1/003,XXème s.,,"M. Schaerer, Berne",,35,7,24,,,rfuschetto,719,Scie à amputation,Hôpital Cantonal Lausanne,,SO
"Orthopédie, traumatologie",18/10/1990,01/10/2015,21/07/2008,,,,,21,PE82/-1/003,XXème s.,,,,36,,30,,,rfuschetto,718,Trépan,Hôpital Cantonal Lausanne,,SO
