ID,Image,Title,Category,Domain,Matching,Description,Documentation,Date,Condition,Creator,Materials,Origin
0,0000.jpg,Abaisse-langues,Diagnostic,,40,"Lot de 13 abaisse-langues6 en métal de 15 cm 2 en métal de 18 cm1 en corne de 12 cm3 en plexiglas de 19 cm, manche de couleur1 en plastique de 14,5 cm ",,XXème s.,,,,Collections privées
0,0000.jpg,Ventouses avec scarificateur,Soins techniques,,72,"Lot de ventouses en verre dans caisse de métal crème3 scarificateurs métal 3,5 x 4,5 cm",,XXème s.,,,,
0,0000.jpg,Instruments de chirurgie,Chirurgie générale,,450,Boîte de métal contenant:-  2 curettes-  2 aiguilles courbées-  1 sonde courbée-  1 sonde cannelée-  3 sondes pour plaies- 1 petite boîte de métal pour aiguilles,,XXème s.,,,,
4,0004.jpg,Stéthoscope monoaural,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
5,0005.jpg,Stéthoscope monoaural,Diagnostic,,40,"Stéthoscope monoaural démontable, en bois clair.",,XXème s.,,,,
5,0005.jpg,Stéthoscope,Diagnostic,,40,,,,,,,
6,0006.jpg,Cisaille à plâtre,"Orthopédie, traumatologie",,457,,,XXème s.,,Hausmann,,"Dr Eric Rochat, St-Légier"
7,0007.jpg,Ophtalmoscope du prof. Marc Amsler,Ophtalmologie,Ophtalmologie,3015,Ophtalmoscope du prof. Marc Amsler,,20e s.,moyen,,,"Mme Anne Egli-Décombaz, Zurich"
9,0009.jpg,Stéthoscope monoaural,Diagnostic,,40,Stéthoscope monoaural en aluminium.,,XXème s.,,"Margot & Jeannet, Lausanne",,
10,0010.jpg,Stéthoscope monoaural,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
14,0014.jpg,Diapason C 128 avec curseur,ORL,,458,,,Fin XIXe - début XXe siècle,,A. Maier,,
15,0015.jpg,Diapason C 64 avec curseur,ORL,,458,,,Fin XIXe - début XXe siècle,,A. Maier,,
16,0016.jpg,Stéthoscope,Diagnostic,,40,"Stéthoscope bi-auriculaire avec embout métal cylindrique, manque la membrane,  tuyaux de caoutchouc noir.",,XXème s.,,,,
19,0019.jpg,Diagnostic Set,Ophtalmologie,,3015,Matériel de diagnostic ophtalmique et O.R.L.comprenant:- 1 manche pour les piles- 3 otoscopes- 1 miroir laryngé avec manche courbé - 1 ophtalmoscope- 2 ampoules  dans étui noir gainé de velours et tissu bleus,,XXème s.,,"Gowllands, England",,"Mme Anne Egli-Décombaz, Zurich"
20,0020.jpg,couteau,Chirurgie générale,Chirurgie,450,grand couteau en métal de la marque Collin. Dans un étui noir.,,,assez bon,Collin,,
21,0021.jpg,Tête phrénologique,Diagnostic,Neurologie,40,"Tête phrénologique en plâtre blanc devenu gris avec le temps, nécessite une restauration.",,Fin XIXème s.,aurait besoin d’être restaurée,Sans mention,Plâtre,"Institut de physiologie, CMU Genève"
22,0022.jpg,Thermomètre,Diagnostic,,40,"Thermomètre “à la seconde” gradué de 30 à 42° Celsius, cordon et raccord + batteries dans boîtier en bakélite ivoire, dans étui de cuir brun.",,XXème s.,,,,"Dr Henri Smolik, Veytaux/Montreux"
24,0024.jpg,Speculums,Gynécologie,,456,Jeu de 3 speculums en métal chromé.,,XXème s.,,,,
27,0027.jpg,Seringue,Chirurgie générale,,450,Seringue en verre. 2 embouts. 1 aiguille. Etui. Inscription sur le couvercle de l’étui “Patent”.,,,moyen.,,,
28,0028.jpg,Tensiomètre,Diagnostic,,40,Tensiomètre manuel avec étui.,,,bon.,,,
30,0030.jpg,O.R.L.,ORL,,458,"Lampe de poche, supports ampoules, miroir, abaisse-langue, câble dans boîte noire gainée de bleu.",,XXème s.,,,,"Mme Anne Egli-Décombaz, Zurich"
47,0047.jpg,Instruments de chirurgie ophtalmique,Ophtalmologie,Ophtalmologie,3015,6 instruments de chirurgie ophtalmique dans leur coffret tendu de velours.,,Première moitié du 20e s.,bon,"Weiss, London",,"Dr Henri Smolik, Veytaux/Montreux"
50,0050.jpg,Instruments de chirurgie ophtalmique,Ophtalmologie,Ophtalmologie,3015,"Un instrument complet et deux têtes. Inscrit sur le coffret: Down Bros. 21, Saint Thomas’s St. London SE. Indique probablement le lieu de vente (Alors que l’instrument complet porte la mention “Weiss”)",,20e s.,moyen,,,"Dr Henri Smolik, Veytaux/Montreux"
52,0052.jpg,Instruments de chirurgie ophtalmique,Ophtalmologie,Ophtalmologie,3015,"Set de 12 instrumentsde chirurgie de l’oeil en métal, presque tous de la marque Weiss ou Weiss London. L’étui porte l’inscription: John Weiss & son, 287 Oxford St. London.",,20e s.,moyen,"Weiss & Son, Oxford st. London.",,
53,0053.jpg,instruments de chirurgie ophtalmique,Ophtalmologie,Ophtalmologie,3015,"4 instruments de chirurgie ophtalmique dans une boîte noire, tendue de velours bleu nuit. Sceau doré “82 Oxford street, London. J. Weiss & Son”. Belle couronne de laurier sur le bouton à pression qui referme le coffret.",,20e s.,bon,"Weiss & Son Ltd, Oxford St., London",,"Dr Henri Smolik, Veytaux/Montreux"
55,0055.jpg,Aiguille de Reverdin avec roulette,Chirurgie générale,,450,,,,,walter,,
61,0061.jpg,Sphygmomanomètre,Diagnostic,,40,"Appareil en  métal avec système enregistreur graphique et accessoire en cuir + petite pièce de métal pour fixer au poignet, dans boîte noire gainée de gris marquée à l’intérieur Dr. med. Th. Schaeppi, Zurich. ",,Vers 1910,,,,"Dr Henri Smolik, Veytaux/Montreux"
63,0063.jpg,Cylindre,Soins techniques,Soins techniques,72,Cylindre en inox pour pince porte-tampons.,,XXème s.,Bon,Favre & Blanc,Métal,Hôpital Cantonal Lausanne
64,0064.jpg,Pèse- bébé,Pédiatrie,Pédiatrie,3009,Pèse-bébé en métal ivoire gradué de 0 - 15kg,,XXème s.,,Seca - Fillius,,
65,0065.jpg,bistouri double rétractable (canif),Chirurgie générale,,450,A deux lames,,,,,,
