ID,Date,Title,ISBN,Classification
1096897215,2014-09-03,Surgery : an illustrated history,0801660785; 9780801660788,D45a
1093368244,1997-03-03,The history and literature of surgery,0872660389; 9780872660380,D45a
1093156082,1997-03-03,Developmental technology of gastric surgery : [vagotomy] : 1521 to present,0930329082; 9780930329082,D45a
1094647683,2000-03-07,"Wound treatment, past to present, with references to Karl v. Reichenbach, Joseph Lister, Louis Pasteur, Alexis Carrel and others",157529074X; 9781575290744,D45a
1096111249,2006-11-30,Primitive surgery : an overview,1841717479; 9781841717470,D45a
VD2135431,2006-11-30,Primitive surgery : an overview,1841717479; 9781841717470,D45a
1094083032,1999-02-10,Surgical case-histories from the past,1853152226; 9781853152221,D45a
1094684872,2003-07-02,History of organ and cell transplantation,1860942091; 9781860942099,D45a
1093348801,1997-03-03,Operations that made history,1900151154; 9781900151153,D45a
1094073274,1997-08-05,Le corps blessé : quatre siècles de chirurgie,2950847013; 9782950847010,D45a
1094687496,2002-05-21,Traumatologie und Feldchirurgie an der Wende vom Mittelalter zur Neuzeit : exemplarisch dargestellt anhand der Grossen Chirurgie des Walther Hermann Ryff,3515077421; 9783515077422,D45a
1094083329,1999-04-26,Die Erfindung der Organtransplantation : Erfolg und Scheitern des chirurgischen Organersatzes (1880-1930),3593359405; 9783593359403,D45a
1093198716,1997-03-03,Chirurgie und Anästhesie : vom Handwerk zur Wissenschaft,3804712568; 9783804712560,D45a
1096111971,2007-05-30,Illustrierte Geschichte der Mikrochirurgie : die historische Entwicklung in den verschiedenen operativen Disziplinen,3867632006; 9783867632003,D45a
1093368264,1997-03-03,"Fantasy surgery, 1880-1930 : with special reference to Sir William Arbuthnot Lane",9042000260; 9789042000261,D45a
1096621630,2012-02-16,Invasion of the body : revolutions in surgery,9780674062283; 0674062280,D45a
1094687420,2002-04-30,The triumph of surgery,none,D45a
1094707729,2004-02-05,Über die Entwicklung des Operationstisches im 19. Jahrhundert,none,D45a
1094707741,2004-02-09,"Cenni storici su la pneumectomia, toracoplastica, pnx. terapeutico nelle ferite toraciche",none,D45a
1094705958,2004-08-24,Histoire de la chirurgie,none,D45a
1094723971,2005-09-28,A history of thoracic surgery,none,D45a
1096158386,2009-12-03,"The origins of organ transplantation : surgery and laboratory science, 1880-1930",none,D45a
1093327632,1997-03-03,The surgeon's tale : the story of modern surgery,none,D45a
1092250312,1997-03-03,The early history of surgery,none,D45a
1094073241,1997-07-31,The story of surgery,none,D45a
1094082558,1998-08-31,Great ideas in the history of surgery,none,D45a
1093114757,1997-03-03,K. Sprengel's Geschichte der Chirurgie.,none,D45a
1093114761,1997-03-03,Wilhelm Sprengel's Geschichte der chirurgischen Operationen,none,D45a
