ID,Date,Title,ISBN,Classification
1096156734,1997-03-03,Otolaryngology : an illustrated history,0407009248; 9780407009240,D45k
1094082898,1999-01-05,Le vertige : histoire et actualité,2840590344; 9782840590347,D45k
1093036199,1997-03-03,"Histoire des maladies de l'oreille, du nez et de la gorge : les grandes étapes de l'oto-rhino-laryngologie",2851280317; 9782851280312,D45k
1096896047,2014-02-12,Otorhinolaryngology : an illustrated history,9780900443237; 0900443235,D45k
1096158310,2011-02-17,Lend me your ear : rhetorical constructions of deafness,9781563680793; 1563680793,D45k
1096159843,2011-03-23,Reason and resonance : a history of modern aurality,9781935408048; 1935408046,D45k
1097425878,2016-04-20,De nez à nez : histoire du nez,9782343044293; 2343044295,D45k
1096160036,2011-05-19,Bruits : échos du patrimoine immatériel,9782880780371; 2880780373,D45k
1096624348,2012-12-17,Wie die Nase zum Riechorgan wurde,9783643120052; 3643120052,D45k
1096115042,2008-03-12,Sketches of otohistory,9783805583640; 3805583648,D45k
RERO-16553246,2015-04-27,History of otology : a tribute to Adam Politzer,9789062994649; 9062994644; 9789062994595; 9062994598,D45k
1094686583,2002-07-16,"The larynx, organ of voice",none,D45k
1094685323,2002-12-16,Entdeckungen auf dem Gebiete der Natur- und der Heilkunde : die Chronischen Krankheiten,none,D45k
1093060278,1997-03-03,Geschichte der Ohrenheilkunde,none,D45k
1093060289,1997-03-03,Geschichte der Ohrenheilkunde,none,D45k
1094684743,2003-05-15,"100 Jahre Hals-, Nasen- und Ohrenheilkunde an der Christian-Albrechts-Universität zu Kiel",none,D45k
1094707214,2004-05-03,Lärm als medizinisches Problem im 19. Jahrhundert,none,D45k
1096158828,2011-03-03,Geschichte der Ohrenheilkunde,none,D45k
1096158827,2011-04-11,Geschichte der Ohrenheilkunde,none,D45k
1093199077,1997-03-03,Naissance et développement de l'oto-rhino-laryngologie dans l'histoire de la médecine,none,D45k
1093332839,1997-03-03,Studien zur Geschichte des Cherubismus-Syndroms,none,D45k
1092797588,1997-03-03,Geschichte des Taubstummenproblems bis ins 17. Jahrundert,none,D45k
1094082973,1999-01-19,A history of otology through the development of scientific and medical thought,none,D45k
1093045512,1997-03-03,Das Costen Syndrom und seine Vorgeschichte,none,D45k
1099016028,2001-03-06,L'oreille et l'ouïe,none,D45k
1099016185,2001-03-13,La surdi-mutité,none,D45k
1099016421,2001-03-22,La voix,none,D45k
1094670853,2001-05-15,A history of oto-laryngology,none,D45k
1093365031,1997-03-03,Geschichte der Nasenheilkunde : von ihren Anfängen bis zum 18. Jahrundert,none,D45k
1094687191,2002-01-22,"Ear, nose and throat in culture",none,D45k
1096133305,2009-03-24,Otorhinolaryngology (ORL) in Europe between 1880 and 1920,none,D45k
1096159816,2011-05-26,Histoire de l'otologie à travers le développement de la pensée scientifique et médicale,none,D45k
1094005846,1999-06-22,Essai sur l'histoire de la trachéotomie,none,D45k
