21,0021.jpg,Tête phrénologique,Diagnostic,Neurologie,40,"Tête phrénologique en plâtre blanc devenu gris avec le temps, nécessite une restauration.",,Fin XIXème s.,aurait besoin d’être restaurée,Sans mention,Plâtre,"Institut de physiologie, CMU Genève"
662,0662.jpg,Appareil pour  mesurer la tension,Diagnostic,,40,"Appareil pour mesurer la tension ou tonomètre du Professeur Dr Gartner, d’après Riva-Rocci. Il manque les raccords, la balle pompe et l’échelle en carton graduée de 0-24 et 1-25  est déchirée en bas à droite.",,XXème s.,,"Franz Hugerstoff, Leipzig",,"Hôpital cantonal, Lausanne"
6170,6170.jpg,Marteaux à réflexes,Diagnostic,Orthopédie,40,"Lot de 4 marteaux à réflexes à manche de métal, extrémité caoutchouc, un manche gradué en cm.",,XXème s.,,,,Collections privées
660,0660.jpg,Marteaux à réflexes,Diagnostic,,40,"Lot de 3 marteaux à réflexes, manches métal et bois, extrémité caoutchouc et bakélite.",,XXème s.,,,,Collections privées
16,0016.jpg,Stéthoscope,Diagnostic,,40,"Stéthoscope bi-auriculaire avec embout métal cylindrique, manque la membrane,  tuyaux de caoutchouc noir.",,XXème s.,,,,
240,IHM-0240.jpg,Stéthoscope,Diagnostic,,40,"Stéthoscope monoaural tourné, démontable, en bois d’aulnes.",,XXème s.,,,,
832,0832.jpg,Stéthoscope,Diagnostic,,40,"Stéthoscope bi-auriculaire , embout cylindrique plat, tuyaux caoutchouc noir, olives en caoutchouc durci.",,XXème s.,,Beecham,,
624,0624.jpg,Stéthoscope,Diagnostic,,40,"Stéthoscope bi-auriculaire à embout cylindrique, tuyaux de caoutchouc rouge et olives en caoutchouc noir durci dans étui de cuir brun.",,XXème s.,,Mignon,,
803,0803.jpg,Oscillomètre sphygmométrique du Prof. Pachon,Diagnostic,,40,"Appareil de mesure de la pression artérielle avec manchette en coton bleu, pompe et tuyaux de caoutchouc rouge dans boîte noire gainée de feutrine rouge.Caissette: Longueur 25 cm - Largeur 18 cm Hauteur 10 cm.Cet appareil a été utilisé par Mme Emilia Mourraille, infirmière-chef de l’Hôpital militaire de Bordeaux durant la guerre de 1914-1918, mère de Mme Laffite.",,Première moitié du 20e s.,,Boulitte Paris,,
734,0734.jpg,Oscillotonometer du Dr von  Recklinghausen,Diagnostic,,40,"Appareil de mesure de la tension artérielle dans caissette de bois noire gainée de tissu bleu L 27 - L 17 - H 7 cm.Manchette de coton noir plastifié à fixation velcro, poire de caoutchouc verteCaissette en bois abîmée aux angles, fermoirs rouillés. Ne ferme plus.",,Première moitié du 20e s.,,“Scala Alternans”  Altera D.R.P.,,
670,0670.jpg,Oscillotonometer d’après Recklinghausen,Diagnostic,,40,"Oscillotonometer ou sphygmomanomètre  d’après Dr Hans von Recklinghausen. Appareil pour la mesure de la tension artérielle dans sa caissette de bakélite noire.Manchette plastique, fixation velcro, poire de caoutchouc rouge Boîte de chez Schaerer, Genève",,Première moitié du 20e s.,,“Scala Alternans”  Altera D.R.P.,,"Dr Hopf, Genève"
1520,1520.jpg,Stéthoscope,Diagnostic,,40,Stéthoscope avec embouts amovibles de forme cônique et cylindrique.,,XXème s.,,"Spengler, Paris",,
216,0216.jpg,Tensiomètre électronique,Diagnostic,,40,"Tensiomètre Electronique Comet, Radio-Contrôlé, synonyme de sphygmomanomètre. Appareil servant à mesurer la tension superficielle en cardiologie.",,XXème s.,,"Breveté S.G.D.G. , Lyon  ",,Hôpital Cantonal Lausanne
87,0087.jpg,Tonomètre,Diagnostic,,40,"Tonomètres d’après le Dr von Recklinghausen, cadran gradué en cm Wasser = g/qcm de 0 - 400, dans étui de cuir brun.Incomplet: manque tuyau et pompe.",,XXème s.,,"J.A. Bosch, Strassburg",,"Dr Henri Smolik, Veytaux/Montreux"
91,0091.jpg,Thermomètres,Diagnostic,,40,Lot de 5 thermomètres de différentes tailles et époques. Le plus ancien dans un étui noir gainé de velours violet est marqué “O.Richter”  St-Petersburg.,,XXème s.,,,,"Mme Tatiana Thillot, ChuvMusée des écoles, Yverdon"
0,0000.jpg,Abaisse-langues,Diagnostic,,40,"Lot de 13 abaisse-langues6 en métal de 15 cm 2 en métal de 18 cm1 en corne de 12 cm3 en plexiglas de 19 cm, manche de couleur1 en plastique de 14,5 cm ",,XXème s.,,,,Collections privées
569,0569.jpg,Oscillotonomètre,Diagnostic,,40,"Oscillotonomètre ou sphygmomanomètre de Recklinghausen . Appareil pour la mesure de la tension artérielle, manchette en tissu gris, fixation velcro, poire en caoutchouc rouge, dans caissette en bakélite marron. ",,Vers 1920,,,,Hôpital Cantonal Lausanne
596,0596.jpg,Tabelles pour l’acupuncture,Diagnostic,,40,"Lot de tabelles de papier illustrant les points d’acupuncture des  parties du corps utilisées dans diverses pathologies Années 1949-1958, Paris, Lausanne",,XXème s.,bon,,,
61,0061.jpg,Sphygmomanomètre,Diagnostic,,40,"Appareil en  métal avec système enregistreur graphique et accessoire en cuir + petite pièce de métal pour fixer au poignet, dans boîte noire gainée de gris marquée à l’intérieur Dr. med. Th. Schaeppi, Zurich. ",,Vers 1910,,,,"Dr Henri Smolik, Veytaux/Montreux"
22,0022.jpg,Thermomètre,Diagnostic,,40,"Thermomètre “à la seconde” gradué de 30 à 42° Celsius, cordon et raccord + batteries dans boîtier en bakélite ivoire, dans étui de cuir brun.",,XXème s.,,,,"Dr Henri Smolik, Veytaux/Montreux"
570,0570.jpg,Tube  acoustique / stéthoscope ?,Diagnostic,,40,,,Vers 1900,,,,Achat
246,0246.jpg,Abaisse-langue,Diagnostic,,40,Abaisse langue en métal chromé.,,XXème s.,,,,
582,0582.jpg,Oscillomètre sphygmométrique du Prof. Pachon,Diagnostic,,40,"Appareil de mesure de la pression artérielle avec manchette en jute,  (manque tuyaux de caoutchouc rouge) dans boîte noire gainée de feutrine rougeCaissette: Longueur 25 cm - Largeur 18 cm Hauteur 10 cm.",,Vers 1910,,"G. Boulitte, Paris",,"Mme Anne Egli-Décombaz, Zurich"
846,0846.jpg,Marteaux à réflexes,Diagnostic,,40,3 marteaux à réflexes: - 1 à manche nickelé garni d’un  triangle de caoutchouc rouge - 2 à manches nickelés garnis d’embouts en caoutchouc durci,,XXème s.,,,,
862,0862.jpg,Stéthoscope monaural,Diagnostic,,40,Stéthoscope monoaural en métal.,,XXème s.,,,,
9,0009.jpg,Stéthoscope monoaural,Diagnostic,,40,Stéthoscope monoaural en aluminium.,,XXème s.,,"Margot & Jeannet, Lausanne",,
5,0005.jpg,Stéthoscope monoaural,Diagnostic,,40,"Stéthoscope monoaural démontable, en bois clair.",,XXème s.,,,,
4001,4001.jpg,Stéthoscopes,Diagnostic,,40,"2 Stéthoscopes monoaural  en bois foncé, démontables",,XXème s.,,,,"Mme Anne Egli-Décombaz, Zurich"
860,0860.jpg,Dynamomètre,Diagnostic,,40,"Instrument à 2 aiguilles pour l’échelle des tractions et l’échelle des pressions, permettant de mesurer la force musculaire.",,XXème s.,,,,
5003,5003.jpg,Abaisse-langue à échelle,Diagnostic,,40,Abaisse-langue en métal chromé utilisé pour l’examen de la bouche et de la gorge.,,Première moitié du XXème s.,bon.,Laubscher-Basel,,"Pharmacie du Prieuré, Orbe"
5025,5025.jpg,Densimètre,Diagnostic,,40,"De 0,700 à 1,000. Temp. 15° Celsius.",,Première moitié du XXème s.,,Sans mention,,"Pharmacie du Prieuré, Orbe"
5014,5014.jpg,Uromètre,Diagnostic,,40,"Modèle du Dr Ulzimann 15°Celsius, sans thermomètre, 1,000 - 1,060.",,Première moitié du XXème s.,bon.,"Müller & Krempel, Zürich",,"Pharmacie du Prieuré, Orbe"
5015,5015.jpg,Uromètres,Diagnostic,,40,"2 uromètres, modèle du Dr Ulzimann 15°Celsius, sans thermomètre, 1,000 - 1,060.",,Première moitié du XXème s.,bon.,"Müller & Krempel, Zürich",,"Pharmacie du Prieuré, Orbe"
5016,5016.jpg,Densimètres pour le sucre,Diagnostic,,40,"2 modèles, 0-50, 15° Celsius.",,Première moitié du XXème s.,,TJZ,,"Pharmacie du Prieuré, Orbe"
5017,5017.jpg,Uricomètre,Diagnostic,,40,"Uricomètre du Dr Ruhemann dans un étui, pour l’analyse quantitative immédiate de l’acide urique dans l’urine.",,Première moitié du XXème s.,bon.,Sans mention,,"Pharmacie du Prieuré, Orbe"
